value
5517 FARINA LN
1794 Panda Way
64 W 7th St
3285 MONAGHAN ST
2301 APEX CT
5532 MICHIGAN BLVD
21600 Eden Canyon
2100 GRANT AVE
825 OAK GROVE RD
1245 Glacier Drive
850 CAMELBACK PL
4045 VIA ESTRELLA
2014 TARRAGON ROSE CT
717 GRAYMONT CIR
2570 WALNUT BLVD.
5 Kimberly Dr.
1730 DOMAINE WAY
207 DONEGAL WAY
4637 COCHISE CT
3105 SHIRE LN
3065 ROHRER DR
541 Camino Drive
2440 11th Ave
353 Wildrose Cir
23059 Hells Hollow Rd.
2355 RIVERVIEW DR
3385 Dublin Boulevard
2718 Seminary
4314 FAIRLANDS DR
148 ST FRANCIS CT
1349 E JUANA AVE
826 ORANGE BLOSSOM WAY
2477 BILTMORE DRIVE
4300 Via Dora
49 Camino Lenada
6923 Bristol Drive
792 Daisyfield Dr
2825 Courtland Dr.
11499 silvergate dr
50 Norlyn Drive
30685 Hoylake St
1860 TICE CREEK DR
35 Jefferson St.
311 4TH ST
5284 KEELER CT
5295 Matthew Terrace
742 Palmera Court
4495 STONE CANYON CT
869 REVERE RD
9664 ASHBY WAY
101 MIDLAND WAY
4725 Terra Granada Drive
6100 N ARLINGTON
3693 AVIANO WAY
721 Rock Rose Way
26 CAMINO CT
420 FULL MOON WAY
3449 STAGE COACH DRIVE
221 Kapalua Bay Circle
22012 SEVILLA RD
4551 LOGAN CT
5633 Roberts Ave
604 MASONIC AVE
2520 Shadowbrooke Road
238 Nanterre St
2124 ATHENE DR
37674 CARRIAGE CIRCLE CMN
2401 Crescent Drive
1531 Marin Way
3764 VIA VERDI
34 MASSOLO DR
1718 S CLEAR CREEK PL
30 Clemson Court
945 Fletcher
33 Bai Gorry PL
867 Terra California Drive
8732 SENECA
4047 COMPTON CT
6895 EXETER DR
9692 MELROSE AVE
869 ARGUELLO DR
5006 Ledgewood Court
22059  E LYNDON LOOP
75 HARVEY TER
532 30TH ST
238 WOOD ST
1731 6TH ST
709 S K ST
5557 AVELLINA DR
260 FLINT CT
1642 BIRDHAVEN WAY
1215 WOOD ST
3845 MADEIRA WAY
1080 ABERDEEN AVE
1785 ALTAMAR WAY
5807 DOYLE ST
20216 SAN MIGUEL AVE
1249 ANDREAS WAY
0 LOS ARABIS DRIVE
3689 LAKE ONTARIO DR
36647 RUSCHIN DR
42701 BARON ST
2429 E 21ST ST
107 GORDON RD
4641 JEFFERSON CT
3038 OAKRAIDER DR
4351 ST CHARLES PL
254 PROMENADE LN
4774 WADSWORTH CT
191 ARTHUR RD
4745 Baffin Ave.
2541 82nd Avenue
3628 Brown Avenue
19553 Eagle St
5425 LOUISIANA DR
1379 147th Ave
3611 SKYLINE DR.
450 RIDGEWOOD DR
1144 Foothill Blvd.
582 8TH ST
47000 OCOTILLO CT
807 DEL NORTE DR
6537 THORNTON AVE
636 S S ST
3090 GLASCOCK STREET
904 SPRINGVIEW CIR
7115 BRIZA LOOP
38308 REDWOOD TER
1236 Walker Ave
108 NAGLEE AVE
2045 PINE KNOLL DR
2133 PINE KNOLL DR
817 SHELLEY ST
1259 ST EDMUNDS WAY
24317 EDEN AVE
1075 CLAREMONT DR
603 Atherton place
2337 COVE CT
1154 HIGHLAND BL
474 KENSINGTON COMMON
3201 PINE VALLEY ROAD
12 W MADILL ST
4026 SALEM ST
1401 DUNN AVE
1826 HARTNELL ST
184 21ST ST
3031 RISDON DR
4104 MOLLER DR
573 Britannia Drve
2433 MERRITT AVE
2225 LABRADOR ST
2029 101ST AVE.
1600 EXCELSIOR AV
2350 PLEASANT HILL RD
1041 Georgean Street
2075 STRATTON RD
108 LANCASTER RD
2055 SIERRA RD
34815 STARLING DR
314 Lilac Lane
